Brand,Product Title,Product Link,MRP,Selling Price,Number of Rating,Star Rating,description,Link of the Images,Number of Images,List of comments,Seller Name
SPUNKIES,Boys Mid-Rise Rapid-Dry Cotton Shorts,http://myntra.com//shorts/spunkies/spunkies-boys-blue-antimicrobial-technology-organic-cotton-shorts/19537970/buy,849,551,,,"Product Details  Black solid mid-rise regular shorts, has 3 pockets, drawstring closure engineered with rapid-dry technology Material & Care Cotton  Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 3 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23065086/2023/5/8/48eeca94-1d0b-45d1-bbf8-5f4a1729b87a1683538073152SPUNKIESBoysBlackOutdoorShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23065086/2023/5/8/9011a782-9add-4e35-83a7-33aa8fbe69f41683538073116SPUNKIESBoysBlackOutdoorShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23065086/2023/5/8/b25cd1d6-5ed2-4ead-9ab2-fdc9d4883ff21683538073100SPUNKIESBoysBlackOutdoorShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23065086/2023/5/8/9b86a305-e4e3-44af-bf89-903f512354671683538073134SPUNKIESBoysBlackOutdoorShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23065086/2023/5/8/07d8cf04-4335-4a97-9b48-eb458f8934691683538073081SPUNKIESBoysBlackOutdoorShorts5.jpg']",5,,FLEXBRAND GLOBAL PRIVATE LIMITED
HELLCAT,Boys Floral Printed Shorts,http://myntra.com//shorts/hellcat/hellcat-boys-pack-of-2-printed-mid-rise-shorts/22474764/buy,1299,350,,,"Product Details  Navy blue floral printed mid-rise regular shorts,  has 2 pockets, drawstring closure Material & Care Cotton Machine wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Floral Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22474416/2023/3/23/decc4c50-6362-43a5-a56d-efe5bfda230f1679559433484HELLCATBoysNavyBlueFloralPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22474416/2023/3/23/36ff398c-d4ed-43b5-a504-5c1400f51a291679559433467HELLCATBoysNavyBlueFloralPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22474416/2023/3/23/d431f351-5c9e-4b5a-b254-c6324b810c231679559433500HELLCATBoysNavyBlueFloralPrintedShorts3.jpg']",3,,Bodyglove Apparel India
Fabindia,Boys Cotton Shorts,http://myntra.com//shorts/h%26m/hm-boys-cotton-shorts/22720282/buy,999,499,5,4.8,"Product Details  Solid mid-rise regular shorts, has 4 pockets, button closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Button Print or Pattern Type Solid Fit Regular Fit Number of Pockets 4 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21144250/2022/12/9/6158b0dd-5e39-4998-a52f-7a047a545a9f1670590170977FabindiaGreyCottonWovenShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21144250/2022/12/9/102028e6-a9a9-442e-adf6-3480df03ce351670590170934FabindiaGreyCottonWovenShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21144250/2022/12/9/3c747f6c-9e3d-4d7e-8295-0b76362ffe031670590170963FabindiaGreyCottonWovenShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21144250/2022/12/9/20ff2444-c9c1-4306-b3eb-047cd391d2011670590170921FabindiaGreyCottonWovenShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21144250/2022/12/9/f11b7799-7fa8-48ca-b03a-83fa904452de1670590170948FabindiaGreyCottonWovenShorts6.jpg']",5,,FABINDIA LIMITED
Pantaloons Junior,Boys Mid-Rise Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-mid-rise-shorts/28714316/buy,,699,,,"Product Details  Olive green solid mid-rise regular shorts,  has 5 pockets, button closure Material & Care Viscose Rayon Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Button Print or Pattern Type Solid Fit Regular Fit Number of Pockets 5 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29328898/2024/5/4/534670f8-9bcc-4188-85c2-94cd5c33bc151714809041022PantaloonsJuniorBoysShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29328898/2024/5/4/2b2e189a-a42a-4d30-893d-021d863232471714809041075PantaloonsJuniorBoysShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29328898/2024/5/4/26a1694f-f11c-468f-8931-5ed3769841f31714809041101PantaloonsJuniorBoysShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29328898/2024/5/4/09b0f1e9-947d-4117-b99e-e58449490ba81714809041049PantaloonsJuniorBoysShorts4.jpg']",4,,Westbury Holdings Pvt Ltd_Pantaloons
x2o,Boys Black Outdoor Shorts,http://myntra.com//shorts/homegrown/homegrown-boys-cotton-black-washed-outdoor-denim-shorts/16919568/buy,1299,350,23,4.1,"Product Details  Black solid mid-rise outdoor regular shorts,  has 2 pockets, drawstring closure Size & Fit Regular Fit  Material & Care Loppknit cotton Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17983138/2022/4/22/b214024e-ffcf-45a2-8717-0ea2d86ce1971650603312189x2oBoysBlackOutdoorShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17983138/2022/4/22/e82aabb3-81e9-4949-ab47-8c74bbde7dde1650603312200x2oBoysBlackOutdoorShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17983138/2022/4/22/c84d2010-49c6-4875-a6a3-39b80d8892711650603312210x2oBoysBlackOutdoorShorts3.jpg']",3,['looks bit low quality and pattern so generic'],Plutus creations
HELLCAT,Boys Pack of 2 Typography Printed Shorts,http://myntra.com//shorts/hellcat/hellcat-boys-pack-of-2-typography-printed-shorts/22062016/buy,1998,459,5,3.8,"Product Details  Pack of 2 Grey & green typography printed mid-rise regular shorts, has na pockets, slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Slip-On Print or Pattern Type Typography Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22062032/2023/2/21/4cbc8a13-7865-4221-ad12-6f041d597d141676985183179HELLCATBoysGreenShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22062032/2023/2/21/8cbbf775-a971-4107-91c6-105bbeecbacc1676985183165HELLCATBoysGreenShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22062032/2023/2/21/1c7ab670-c587-4414-aec9-cfc2c2f069131676985183217HELLCATBoysGreenShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22062032/2023/2/21/bba07ed6-4f7d-4604-aea8-6494bfd20f5d1676985183233HELLCATBoysGreenShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22062032/2023/2/21/961265e1-251d-4ad8-9b7f-0c207f8f4e1a1676985183142HELLCATBoysGreenShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22062032/2023/2/21/60bed9fa-8bc6-4903-bdc5-de84fe5bfbfb1676985183197HELLCATBoysGreenShorts6.jpg']",6,,Bodyglove Apparel India
BAESD,Boys Pack Of 4 Mid Rise Cotton Shorts,http://myntra.com//shorts/trampoline/trampoline-boys-pack-of-5-typography-printed-cotton-shorts/27478544/buy,1599,479,,,"Product Details  Pack of 4 navy blue, characoal, grey & red solid mid-rise regular shorts, has 2 pockets, Drawstring closure Size & Fit Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27672460/2024/2/19/5457c7ba-1849-4d59-a5bb-33361fccd6c91708342543561BAESDBoysShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27672460/2024/2/19/edd9fa38-f9da-4a6f-9751-49cb35d74b3b1708342543583BAESDBoysShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27672460/2024/2/19/0b3c9b36-4acb-4248-96e2-eb645542038e1708342543590BAESDBoysShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27672460/2024/2/19/d0c6253a-b35e-4b7d-8a16-9f59bf175dd41708342543577BAESDBoysShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27672460/2024/2/19/9801faaa-c2b4-45aa-8ad7-41f86893c0af1708342543570BAESDBoysShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27672460/2024/2/19/b0c3bd82-64af-46c5-93be-8ed62adb42ba1708342543597BAESDBoysShorts6.jpg']",6,,Reach2Globe
PLUM TREE,Boys Printed Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-printed-shorts/28883744/buy,999,399,2,3,"Product Details  Grey graphic printed mid-rise regular shorts,  has na pockets, drawstring closure Size & Fit Regular Fit  Material & Care 100% cotton Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Graphic Fit Regular Fit Occasion Casual Knit or Woven Woven See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28616312/2024/4/2/df9f3c12-555d-4f6a-8f5f-1030b4d602c81712032005020PLUMTREEBoysPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28616312/2024/4/2/07172bb3-5d6a-4219-9e8f-173a12fbec3a1712032005063PLUMTREEBoysPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28616312/2024/4/2/aeae6115-f9ff-4e9f-8087-1fea426638fa1712032005086PLUMTREEBoysPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28616312/2024/4/2/d742bc78-d81c-41b3-be10-9ab16011b8d21712032005040PLUMTREEBoysPrintedShorts4.jpg']",4,['Good product'],Universal Creations
Pantaloons Junior,Boys Cotton Cargo Shorts,http://myntra.com//shorts/max/max-boys-cargo-shorts/27731750/buy,,599,,,"Product Details  Khaki solid mid-rise cargo shorts,  has 2 pockets, drawstring closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Cargo Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28880780/2024/4/12/0365a4db-4438-49d2-bb8b-ebbb49d7de0a1712906413264PantaloonsJuniorBoysCargoShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28880780/2024/4/12/59c9f3d8-fcb7-4895-b48f-1c6225048c091712906413311PantaloonsJuniorBoysCargoShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28880780/2024/4/12/1cadd6a2-9c24-458b-8279-61767caa8e371712906413337PantaloonsJuniorBoysCargoShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28880780/2024/4/12/16fbd9b7-5b6c-4ff8-b0d3-69119d86dc6a1712906413286PantaloonsJuniorBoysCargoShorts4.jpg']",4,,Westbury Holdings Pvt Ltd_Pantaloons
Kids Ville,Boys Spiderman Printed Shorts,http://myntra.com//shorts/hellcat/hellcat-boys-typography-printed-shorts/22061750/buy,899,494,,,"Product Details  Blue & white Spiderman Printed detail mid-rise regular shorts, has an inner elasticated waistband with drawstring closure Feature: High quality cotton Long lasting Product story: Stay comfortable through the summer in Kidsville Spiderman Printed Blue Shorts For Boys. This regular wear SPIDERMAN SHORTS showcases a printed character on the front made up of high quality Cotton Poly material which is professionally printed to ensure long-lasting color giving you trendy look and comfortable feel. SPIDERMAN fans will love this design which gives stylish look. Also this is an officially licensed product is the perfect gift for fans KIDSVILLE Material & Care Cotton Hand Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23603090/2023/6/12/d23bbf5d-6f83-4b15-be85-8b7f141a8af01686560671021KidsvilleSpidermanPrintedBlueShortsForBoys1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23603090/2023/6/12/8c29aa2a-c885-4005-8241-5abea5a7b0281686560671009KidsvilleSpidermanPrintedBlueShortsForBoys2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23603090/2023/6/12/e4a0a4f5-da30-4ba8-a1c5-dc59bf49b7981686560671033KidsvilleSpidermanPrintedBlueShortsForBoys3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23603090/2023/6/12/224a181c-0aab-4556-9c12-c22be72e2b611686560671046KidsvilleSpidermanPrintedBlueShortsForBoys4.jpg']",4,,Bioworld Merchandising (India) Pvt. Ltd.
Trampoline,Kids Pack Of 5 High-Rise Cotton Shorts,http://myntra.com//shorts/eio/eio-kids-pack-of-5-printed-pure-cotton-shorts/28173978/buy,2179,631,71,4.5,"Product Details  Yellow,blue,black,orange,red solid high-rise regular shorts, slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise High-Rise Length Knee Length Type Regular Shorts Closure Slip-On Print or Pattern Type Solid Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23399062/2024/3/15/1cb5882c-3a34-4aee-b8af-2fc41f38ec6f1710498773460TrampolineKidsPackOf5High-RiseCottonShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23399062/2024/3/15/52695781-d0bb-4316-97a9-01b3f3cd8f081710498773473TrampolineKidsPackOf5High-RiseCottonShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23399062/2024/3/15/58c938e7-0a93-44b0-90cf-9596f6c5708b1710498773484TrampolineKidsPackOf5High-RiseCottonShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23399062/2024/3/15/2c4260e2-718e-4031-9141-915051544e671710498773498TrampolineKidsPackOf5High-RiseCottonShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23399062/2024/3/15/d75cad31-7dfd-4f55-835f-d37be8a63ce81710498773513TrampolineKidsPackOf5High-RiseCottonShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23399062/2024/3/15/509de337-02cf-478b-b93b-405ecf9fb9cc1710498773528TrampolineKidsPackOf5High-RiseCottonShorts6.jpg']",6,['Good product... Nice material as well ?'],Home
max,Boys Typography Mid-Rise Regular Fit Pure Cotton Shorts,http://myntra.com//shorts/anthrilo/anthrilo-boys-green-cotton-shorts/18017342/buy,,369,,,"Product Details  Orange typography printed mid-rise regular shorts, has 3pockets, drawstring closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Typography Fit Regular Fit Number of Pockets 3 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22579772/2023/3/30/38b350fe-623f-4124-afba-e15f715b3fe91680177947857Shorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22579772/2023/3/30/8cc8cb47-6d60-421f-96be-dde7376ffea61680177947826Shorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22579772/2023/3/30/45d654b3-036e-434b-899f-97be7b5a96831680177947841Shorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22579772/2023/3/30/ad485dbb-4bd5-44e6-9092-f96b4c25e1371680177947874Shorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22579772/2023/3/30/b2008edc-0482-4697-ac3f-b8fef260529c1680177947889Shorts5.jpg']",5,,Landmark Online India Pvt Ltd
ZIP ZAP ZOOP,Boys Mid Rise Pure Cotton Shorts,http://myntra.com//shorts/max/max-boys-mid-rise-pure-cotton-shorts/23374862/buy,,399,,,"Product Details  White solid mid-rise regular shorts,  has 1 pockets, slip-on closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Slip-On Print or Pattern Type Solid Fit Regular Fit Number of Pockets 1 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27589436/2024/2/14/8bf561c2-3db1-4751-a260-ace64aa735e11707886767798ZIPZAPZOOPBoysShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27589436/2024/2/14/14cfacbc-66c9-4f46-a94a-ebdfabb3ff0c1707886767807ZIPZAPZOOPBoysShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27589436/2024/2/14/ef029227-39ed-4f39-af3a-f7e4c7102f301707886767814ZIPZAPZOOPBoysShorts3.jpg']",3,,ASHTIFY PRIVATE LIMITED
Pantaloons Junior,Boys Mid-Rise Denim Shorts,http://myntra.com//shorts/gini+and+jony/gini-and-jony-boys-mid-rise-denim-shorts/22942528/buy,,699,13,3.8,"Product Details  Blue solid mid-rise denim shorts,  has 5 pockets, button closure Material & Care Cotton  Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Denim Shorts Closure Button Print or Pattern Type Solid Fit Regular Fit Number of Pockets 5 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24238148/2023/7/28/d63b0f78-0ce0-4bcb-88bf-a745bac113931690516140636PantaloonsJuniorBoysBlueDenimShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24238148/2023/7/28/6902a221-e939-4e76-8343-03e54ea4ffff1690516140621PantaloonsJuniorBoysBlueDenimShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24238148/2023/7/28/d2a10b46-796c-427a-9d1e-3e0f0eaf21651690516140602PantaloonsJuniorBoysBlueDenimShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24238148/2023/7/28/cfbb5566-9e23-4592-89b4-a9820e18a6a71690516140585PantaloonsJuniorBoysBlueDenimShorts4.jpg']",4,,Westbury Holdings Pvt Ltd_Pantaloons
Pantaloons Baby,Infants Boys Mid-Rise Cotton Shorts,http://myntra.com//shorts/chicco/chicco-boys-navy-blue-shorts/16966032/buy,,499,5,4.2,"Product Details  Olive green solid mid-rise regular shorts, has 4 pockets, drawstring closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 4 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24443294/2023/8/10/211ddfd4-f742-442f-b238-d6f7d2165bc11691669114071PantaloonsBabyBoysOliveGreenShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24443294/2023/8/10/48ed6fff-8b37-4e1c-95ec-070044a2e1621691669114124PantaloonsBabyBoysOliveGreenShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24443294/2023/8/10/7f959a06-3bb3-4805-b323-6dbc5034f2471691669114053PantaloonsBabyBoysOliveGreenShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24443294/2023/8/10/b056f7bf-64e1-427c-af79-152a99b122551691669114102PantaloonsBabyBoysOliveGreenShorts4.jpg']",4,,Westbury Holdings Pvt Ltd_Pantaloons
MIST N FOGG,Kids Pack Of 5 Printed Cotton Shorts,http://myntra.com//shorts/kuchipoo/kuchipoo-kids-pack-of-5-typography-printed-mid-rise-shorts/28073958/buy,1999,599,10,4.4,"Product Details  Pack of 5 purple, pink, blue & yellow solid mid-rise shorts, slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Slip-On Print or Pattern Type Typography Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23729874/2023/6/22/3b8ca4ec-28b4-4a61-98bc-b67341eca2981687442299645MISTNFOGGUnisexKidsMulticolouredSportsShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23729874/2023/6/22/a1c121d4-bbd9-43b1-9312-d8c38923d2da1687442299628MISTNFOGGUnisexKidsMulticolouredSportsShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23729874/2023/6/22/c00b5a61-c89f-4f77-9274-c957d36e60f51687442299662MISTNFOGGUnisexKidsMulticolouredSportsShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23729874/2023/6/22/559aac27-97ce-4dfd-9baf-0f746e40db131687442299675MISTNFOGGUnisexKidsMulticolouredSportsShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23729874/2023/6/22/c2183f91-1ede-40e8-8f76-62bd7e6052fc1687442299688MISTNFOGGUnisexKidsMulticolouredSportsShorts5.jpg']",5,['Good one.. fabric was so good..'],VEERAA CLOTHING
MINI KLUB,Infant Boys Pack Of 2 Pure Cotton Shorts,http://myntra.com//shorts/h%26m/hm-boys-5-pack-cotton-jersey-shorts/23126068/buy,519,461,,,"Product Details  Pack of 2 blue and pink solid mid-rise regular shorts, slip-on closure Material & Care 100% Bci Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Slip-On Print or Pattern Type Solid Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27197628/2024/1/29/3ff0d03d-0668-48c7-a171-ed10cb5d33c81706513707298MINIKLUBBoysOutdoorShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27197628/2024/1/29/01c35f21-dc60-49de-a128-f62b68483b391706513707241MINIKLUBBoysOutdoorShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27197628/2024/1/29/927cbe92-9924-4aba-b3f1-b474a14bca521706513707269MINIKLUBBoysOutdoorShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27197628/2024/1/29/f9b34311-8140-491f-9579-31b3253ee27f1706513707228MINIKLUBBoysOutdoorShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27197628/2024/1/29/bb76efd6-a2b7-4069-844a-ebfbd565b5751706513707287MINIKLUBBoysOutdoorShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27197628/2024/1/29/9785edb2-2a3b-45bb-a868-8d54f81014bc1706513707255MINIKLUBBoysOutdoorShorts6.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27197628/2024/1/29/be703db5-ded8-4715-92b2-ae36114d30921706513707275MINIKLUBBoysOutdoorShorts7.jpg']",7,,Miniklub Retail Pvt Ltd
KiddoPanti,Boys Red Printed Shorts,http://myntra.com//shorts/whistle+%26+hops/whistle--hops-boys-mid-rise-pure-cotton-shorts/23273776/buy,599,359,,,"Product Details  Red graphic printed mid-rise regular shorts,  has 2 pockets, drawstring closure Size & Fit Regular Fit  Material & Care Fabric: 100% Cotton. Machine Wash cold,Tumble dry low, Mild Iron, Do not Bleach Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Graphic Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16705988/2022/1/6/06659a60-260c-4443-b32c-d660fc8aa6801641461001418BoysKeepOnGoingPrintedKnitShort1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16705988/2022/1/6/20252c97-a804-412c-ad6a-af045a4068bc1641461001564BoysKeepOnGoingPrintedKnitShort2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16705988/2022/1/6/bd36668d-0731-4de3-a987-175f7c7bb8461641461001291BoysKeepOnGoingPrintedKnitShort3.jpg']",3,"['Nice but size is smaller than other brand', 'Nice']",Krimson Apparel Private Limited
HELLCAT,Boys Pack Of 2 Typography Printed Cotton Shorts,http://myntra.com//shorts/baesd/baesd-boys-pack-of-3-high-rise-pure-cotton-shorts/24591214/buy,1998,459,,,"Product Details  Pack of 2 maroon & grey typography printed regular fit, mid-rise regular shorts, slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Slip-On Print or Pattern Type Typography Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22316628/2023/3/14/e5b29015-fac8-4f60-b14e-e468ef7152da1678769960402HELLCATBoysMaroonColourblockedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22316628/2023/3/14/c1d171f6-bd4d-47bf-abc5-045bf8bb20f91678769960373HELLCATBoysMaroonColourblockedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22316628/2023/3/14/b4352b86-1ff1-4c55-b5c5-0d4e2acc5bfc1678769960387HELLCATBoysMaroonColourblockedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22316628/2023/3/14/e23c1638-3ab3-4173-a818-42234993b1951678769960426HELLCATBoysMaroonColourblockedShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22316628/2023/3/14/a841e772-1f82-4f7a-8e21-51013c8108b51678769960441HELLCATBoysMaroonColourblockedShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22316628/2023/3/14/0d97ed6a-5f56-4ec1-a32d-b6ac25f99b3c1678769960416HELLCATBoysMaroonColourblockedShorts6.jpg']",6,,Bodyglove Apparel India
